Block 4421202
cosmosvaloper,cosmos,moniker,pubkey,address,cosmosvalcons,bonded,pion-1-cosmosvalcons,pion-1-address
cosmosvaloper1fluc75rrhw704q74v5frn4024wwxyzf66gf3yl,cosmos1fluc75rrhw704q74v5frn4024wwxyzf6luaygv,S16 Research Ventures,zRfzwRoe7lQu8gj13cgxY/K5Lu2vJmWIIzIkKLyjkBU=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper122grl5a5zs8fjfxmakla0jhnh8dyy3vvn9n293,cosmos122grl5a5zs8fjfxmakla0jhnh8dyy3vvk38lfz,Keplr,rjlnCtaMLGYb8HE0vvR3uFoAbMQzJEy1aJtPZSrwDaA=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper12wfqghc0zw7gj9qzqgg7vasy9tzw3rluzazamq,cosmos12wfqghc0zw7gj9qzqgg7vasy9tzw3rlu8fkghn,S16 Research Ventures,4mRV5FonQzP6C1cFRs05WzM4YDHm3WjW/a6nFWtQqDk=,,,BOND_STATUS_UNBONDING,,
cosmosvaloper123eyrayh057cgxg8v0t5nnsmkwkt77cmkx784c,cosmos123eyrayh057cgxg8v0t5nnsmkwkt77cmnj2jet,haciyatmaz,1ioufhWIGAk6mTgYr5COqrRmnyHKcnpeUUcFPSm38Dg=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper12jrdr3s9f2v6h3h8wzl5c32v77cmhs2jzrgnqj,cosmos12jrdr3s9f2v6h3h8wzl5c32v77cmhs2j8huxvp,Cypher Core,rdCi2PnIcauIRUoFBMGTE7cpHpCCviOps0x3POXCZtQ=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper12cxqd3v99r0kfxlwkqcfyptw0pwqpjc24rnz8c,cosmos12cxqd3v99r0kfxlwkqcfyptw0pwqpjc2sh8htt,Commons Hub,ZOy870kY5bIjIQXC5cpEb65SGmw081i//G7xIsdbZTU=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1tp8vfm5y57h006m6uyn4kp843heyjdkps7nmm4,cosmos1tp8vfm5y57h006m6uyn4kp843heyjdkp428whx,infstones-rstest,eRgVcO73ikUF3mhXLVZ36/ZkQS3cIYeOMMvow0OhoEE=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1tpc9qrxlkl5m8gtlkwcy8cvan53rf9zu7uuc5q,cosmos1tpc9qrxlkl5m8gtlkwcy8cvan53rf9zumggdcn,Stakin,bqW4s7gLVXaT49IbycRNm/ijDblJamQJRklnRg8cYKc=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1t8dsvjaftcf8waslyjfr539t8c0730ttw4a76r,cosmos1t8dsvjaftcf8waslyjfr539t8c0730tttpftks,syncnode,R0EvAcNXzLnSgU5QXUCG2OMr1imOnEQjciujWy68OR0=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1t2y8gcarqr9sy26q9t9703ft59xd8863lws0kl,cosmos1t2y8gcarqr9sy26q9t9703ft59xd886366y66v,ShapeShiftTest,sGahPuQvF9aoEOwcX35yNTY8DVbjAtl6ebCP0AKSKJ4=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1t2xnxft9sjv5gap75yyq8wldj29v76w3sjunpa,cosmos1t2xnxft9sjv5gap75yyq8wldj29v76w34xgxdw,test-nest,qlfGlzf0cN94Ot8p5wJKF5q5u1xsrxCLGM6VTWP6RNA=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1ttdurc6plu5yrjuyxfmvkvecfs7rttg2kj0vmv,cosmos1ttdurc6plu5yrjuyxfmvkvecfs7rttg2nxmehl,cosmosnetwork,hUPruXVwh4R120nQuOY7TZ/uMRWSLPnq2L08e/xvJsA=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1td20kwadsp2v6fd0up4lpj0924d2du5uzdd0tl,cosmos1td20kwadsp2v6fd0up4lpj0924d2du5u8ee68v,cake 🍰,PbXyz1Yiv7rRih4GaYimqkpSueW0AjrXL2E0WrxO+So=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1tjx0534ehgv2n9mjkw3q4jvcsgg7vnzlatxade,cosmos1tjx0534ehgv2n9mjkw3q4jvcsgg7vnzlcljgp2,L1prik0n,Z5cxw5VDM7ghOZC2Al6aazowVHWDeoa9SNyspVV9hc8=,,,BOND_STATUS_UNBONDED,,
cosmosvaloper1t49330ljem0gqn8elv4jajznrs3h6wfnl4eaef,cosmos1t49330ljem0gqn8elv4jajznrs3h6wfn6pdg46,uprovider,nUK9tpwtB2YcUt/GujS24FThx5PC5pKnJtR7fN1srPs=,,,BOND_STATUS_UNBONDED,,
